go:0000001 | distribution_of | mitochondria
acyl_carrier_protein_(acp) | mediates_protein-protein_interactions_with | enzyme
acyl_carrier_protein_(acp) | presents_substrates_to | enzymes
acyl_group | processed_by | cognate_enzyme
enzymes | involved_in | fatty_acid_biosynthesis
go:0000036 | binding | acyl_group
enzymes | involved_in | polyketide_secondary_metabolite_biosynthesis
go:0000038 | involves | very_long-chain_fatty_acid
very_long-chain_fatty_acid | has_aliphatic_tail | aliphatic_tail
aliphatic_tail | contains | more_than_22_carbons
nickel | is_a | biologically_relevant_transition_metal
molybdenum | is_a | biologically_relevant_transition_metal
iron | is_a | biologically_relevant_transition_metal
copper | is_a | biologically_relevant_transition_metal
silver | is_a | biologically_relevant_transition_metal
cobalt | is_a | biologically_relevant_transition_metal
go:0000041 | definition | directed_movement_of_transition_metal_ions
transition_metal | definition | element_with_incomplete_d-subshell
transition_metal_ions | movement_mechanism | transporter
vanadium | is_a | biologically_relevant_transition_metal
transition_metal_ions | location | into, out of or within a cell, or between cells
manganese | is_a | biologically_relevant_transition_metal
transition_metal | valency_state | more_than_one_valency_state
transition_metal_ions | movement_mechanism | pore
isolation_membrane | encloses | portion_of_cytoplasm
autophagosome | is_formed_by | formation_of_double_membrane-bounded_structure
specialized_membrane_sac | called | isolation_membrane
go:0000045 | is_a | formation_of_double_membrane-bounded_structure
autophagosome | is_a | double_membrane-bounded_structure
formation_of_double_membrane-bounded_structure | occurs_when | specialized_membrane_sac_starts_to_enclose_portion_of_cytoplasm
go:0000048 | has_product | peptidylaminoacyl-tRNA(2)
go:0000048 | has_reactant | peptidyl-tRNA(1)
go:0000048 | has_reactant | aminoacyl-tRNA(2)
go:0000048 | catalyzed_by | ribozyme
go:0000048 | has_product | tRNA(1)
go:0000049 | binding_to | transfer_rna
go:0000050 | has_product | fumarate
go:0000050 | has_reactant | co2
go:0000050 | has_reactant | atp
go:0000050 | has_product | amp
aspartate | reactant_in | arginine_synthesis
arginine | synthesized_from | ornithine
go:0000050 | has_reactant | h2o
go:0000050 | part_of | arginine_synthesis
h2o | reactant_in | arginine_synthesis
go:0000050 | has_product | diphosphate
go:0000050 | has_product | urea
nh3 | reactant_in | arginine_synthesis
go:0000050 | has_product | phosphate
go:0000050 | has_reactant | aspartate
co2 | reactant_in | arginine_synthesis
ornithine | regenerated_by | cleavage
ornithine | cleaved_to_yield | urea
go:0000050 | has_product | adp
go:0000050 | has_reactant | nh3
urea | product_of | arginine_synthesis
atp | reactant_in | arginine_synthesis
citrulline | is_a | alpha_amino_acid
go:0000052 | involves_chemical_reactions_and_pathways | n5-carbamoyl-l-ornithine
go:0000052 | involves_chemical_reactions_and_pathways | citrulline
citrulline | not_found_in | proteins
argininosuccinate | synthesized_from | aspartate
argininosuccinate | intermediate_in | ornithine-urea_cycle
argininosuccinate | synthesized_from | citrulline
go:0000053 | involved_in | argininosuccinate
2-(n(omega)-arginino)succinate | is_a | argininosuccinate
go:0000054 | is_defined_as | directed_movement_of_a_ribosomal_subunit_from_the_nucleus_into_the_cytoplasm
ribosomal_subunit | moves_from | nucleus
ribosomal_subunit | moves_to | cytoplasm
go:0000055 | definition | directed_movement_of_a_ribosomal_large_subunit_from_the_nucleus_into_the_cytoplasm
ribosomal_large_subunit | location | cytoplasm
ribosomal_large_subunit | location | nucleus
go:0000056 | definition_of | directed_movement_of_a_ribosomal_small_subunit_from_the_nucleus_into_the_cytoplasm
ribosomal_small_subunit | moves_to | cytoplasm
ribosomal_small_subunit | moves_from | nucleus
fatty-acyl-coa | is_a | derivative_of_coenzyme_a
go:0000062 | definition | binding_to_a_fatty-acyl-coa
fatty-acyl-coa | has_thiolester_linkage_with | fatty_acyl_group
go:0000064 | enables | transfer_of_l-ornithine
transfer_of_l-ornithine | occurs_across | membrane
l-ornithine | is_a | 2,5-diaminopentanoic_acid
homologous_chromosomes | paired_with | homologous_partner
go:0000070 | is_a | cell_cycle_process
homologous_chromosomes | organized_and_separated_during | mitotic_cell_cycle
replicated_chromosomes | composed_of | two_sister_chromatids
homolog | goes_into | chromosome_sets
sister_chromatids | align_at | cell_equator
go:0000073 | is_defined_by | release_of_duplicated_mitotic_spindle_pole_bodies
spindle_pole_bodies | located_within | nucleus
nucleation_of_microtubules | leads_to | v-shaped_spindle_microtubules
nucleation_of_microtubules | occurs_from | spindle_pole_bodies
interpolar_microtubules | elongate_from | spindle_pole_bodies
capturing_and_antiparallel_sliding_apart_of_microtubules | promotes | initial_separation_of_spindle_pole_bodies
interpolar_microtubules | are_interconnected | forming_overlapping_microtubules
release_of_duplicated_mitotic_spindle_pole_bodies | begins_with | nucleation_of_microtubules
cell_cycle_checkpoint | part_of | signaling_process
cell_cycle_checkpoint | ends_with | signal_transduction
cell_cycle_checkpoint | begins_with | detection_of_deficiencies_or_defects
go:0000075 | controls | cell_cycle_progression
dna_replication_checkpoint | prevents | initiation_of_nuclear_division
go:0000076 | contributes_to | dna_replication_checkpoint
dna_replication_is_complete | ensures | progeny_inherit_full_complement_of_genome
progeny | inherit | full_complement_of_genome
initiation_of_nuclear_division | occurs_until | dna_replication_is_complete
go:0000077 | contributes_to | dna_damage_checkpoint
go:0000079 | modulates_frequency | cyclin-dependent_protein_serine/threonine_kinase_activity
go:0000079 | modulates_rate | cyclin-dependent_protein_serine/threonine_kinase_activity
go:0000079 | modulates | cyclin-dependent_protein_serine/threonine_kinase_activity
go:0000079 | modulates_extent | cyclin-dependent_protein_serine/threonine_kinase_activity
go:0000080 | is_a | cell_cycle_phase
go:0000080 | occurs_between | dna_segregation_by_mitosis
go:0000080 | occurs_before | dna_synthesis
g1_cyclins | positive_feedback_on | g1_cyclin-dependent_kinase
s_phase | involves | dna_replication
go:0000082 | part_of | mitotic_cell_cycle_transition
g1_cyclin-dependent_kinase | commits_cell_to | s_phase
g1_cyclin-dependent_kinase | activates | transcription_of_g1_cyclins
go:0000084 | follows | g1_phase
go:0000084 | part_of | mitotic_cell_cycle
dna_synthesis | takes_place_during | go:0000084
cell_cycle_phase | occurs_between | dna_synthesis_completion
dna_segregation_by_mitosis | is_part_of | mitosis
go:0000085 | is_a | cell_cycle_phase
cell_cycle_phase | occurs_before | dna_segregation_by_mitosis
go:0000086 | is_a | mitotic_cell_cycle_transition
mitotic_cell_cycle_transition | involves | m_phase
mitotic_cell_cycle_transition | involves | g2_phase
positive_feedback_loop | results_in | accumulation_of_m_cyclin/cdk_complex
m_cyclin/cdk_complex | activates | positive_feedback_loop
m_cyclin/cdk_complex | is_active | when_kinase_activity_reaches_threshold
go:0000087 | has_part | prophase
go:0000087 | is_a | cell_cycle_phase
go:0000087 | has_part | telophase
go:0000087 | part_of | mitotic_cell_cycle
go:0000087 | has_part | anaphase
go:0000087 | has_part | metaphase
cell_cycle_phase | occurs_during | aster_migration
go:0000088 | is_a | cell_cycle_phase
cell_cycle_phase | part_of | m_phase_of_mitosis
cell_cycle_phase | occurs_during | centriole_migration
cell_cycle_phase | occurs_during | chromosome_condensation
chromosomes | aligned_on | equatorial_plate
cell_cycle_phase | following | prophase
go:0000089 | part_of | mitotic_cell_cycle
go:0000090 | part_of | mitotic_cell_cycle
chromosomes | separate_and_migrate | poles_of_the_spindle
go:0000091 | part_of | mitosis
kinetochore_microtubules | shorten_during | cell_cycle_phase
chromosomes | move_toward | spindle_poles
go:0000092 | part_of | mitosis
spindle | moves_farther_apart_during | cell_cycle_phase
polar_microtubules | elongate_during | cell_cycle_phase
go:0000093 | occurs_after | anaphase
go:0000093 | occurs_during | m_phase_of_mitosis
go:0000093 | involves | cytoplasm_division_start
go:0000093 | involves | chromosome_arrival_at_poles
s-adenosylmethionine | is_intermediate_in | one-carbon_metabolism
go:0000095 | enables | transfer_of_s-adenosylmethionine
s-adenosylmethionine | is | s-(5'-adenosyl)-l-methionine
amino_acids_containing_sulfur | comprises | selenocysteine
go:0000096 | involves_chemical_reactions_and_pathways | amino_acids_containing_sulfur
amino_acids_containing_sulfur | comprises | homocysteine
amino_acids_containing_sulfur | comprises | methionine
amino_acids_containing_sulfur | comprises | cysteine
amino_acids_containing_sulfur | comprises | selenocysteine
amino_acids_containing_sulfur | comprises | methionine
go:0000097 | results_in_formation_of | amino_acids_containing_sulfur
amino_acids_containing_sulfur | comprises | cysteine
breakdown_of_amino_acids_containing_sulfur | comprises | selenocysteine
go:0000098 | results_in | breakdown_of_amino_acids_containing_sulfur
cysteine | is_a | amino_acid_containing_sulfur
breakdown_of_amino_acids_containing_sulfur | comprises | cysteine
selenocysteine | is_a | amino_acid_containing_sulfur
methionine | is_a | amino_acid_containing_sulfur
breakdown_of_amino_acids_containing_sulfur | comprises | methionine
go:0000099 | enables_the_transfer_of | sulfur_amino_acids
sulfur_amino_acids | contain_sulfur_in_the_form_of | methionine
sulfur_amino_acids | contain_sulfur_in_the_form_of | cystine
sulfur_amino_acids | contain_sulfur_in_the_form_of | derivatives
go:0000100 | enables_the_transfer_of | s-methylmethionine
s-methylmethionine | transferred_across | membrane
directed_movement | occurs_between | cells
directed_movement | occurs_in | cell
directed_movement | involves | amino_acids_containing_sulfur
go:0000101 | is_a | directed_movement
agent | example_of | transporter
amino_acids_containing_sulfur | includes | methionine
amino_acids_containing_sulfur | includes | cystine
directed_movement | mediated_by | agent
amino_acids_containing_sulfur | includes | derivatives
agent | example_of | pore
go:0000102 | enables | transfer_of_l-methionine
secondary_active_transporters | include | symporters
transporter | binds | l-methionine
transporter | undergoes | conformational_changes
transport | driven_by | chemiosmotic_source_of_energy
l-methionine | transferred_by | transporter
secondary_active_transporters | include | antiporters
sulfate_processing_pathway | incorporates_into | sulfated_compounds
sulfate_processing_pathway | processes | inorganic_sulfate
go:0000103 | part_of | sulfate_processing_pathway
go:0000104 | has_product | fumarate
go:0000104 | has_reactant | succinate
l-histidine | is | 2-amino-3-(1h-imidazol-4-yl)propanoic_acid
go:0000105 | results_in_formation_of | l-histidine
go:0000107 | has_product | h+
go:0000107 | is_a | biochemical_process
go:0000107 | has_reactant | l-glutamine
go:0000107 | has_reactant | phosphoribulosylformimino-aicar-p
go:0000107 | has_product | aminoimidazole_carboxamide_ribonucleotide
go:0000107 | has_product | d-erythro-imidazole-glycerol-phosphate
go:0000107 | has_product | l-glutamate
complex_formed_of_proteins | acts_in | nucleotide-excision_repair
go:0000109 | is_a | complex_formed_of_proteins
s._cerevisiae | composed_of | rad14p
rad1p | is_subunit_of | go:0000110
human | composed_of | ercc1
rad10p | is_subunit_of | go:0000110
ercc1 | is_subunit_of | go:0000110
ercc4/xpf | is_subunit_of | go:0000110
go:0000110 | involved_in | nucleotide-excision_repair
rad14p | is_subunit_of | go:0000110
s._cerevisiae | composed_of | rad10p
human | composed_of | ercc4/xpf
xpa | is_subunit_of | go:0000110
nucleotide-excision_repair | possesses | dna_damage_recognition
nucleotide-excision_repair | possesses | endodeoxynuclease_activities
human | composed_of | xpa
s._cerevisiae | composed_of | rad1p
s._cerevisiae | composed_of | rad23p
go:0000111 | part_of | nucleotide-excision_repair
s._cerevisiae | composed_of | rad4p
rad23p | component_of | go:0000111
rad4p | component_of | go:0000111
nucleotide-excision_repair | involved_in | damaged_dna_binding
tfiih-ssl2p_complex | composed_of | ssl1p
ssl2p | also_called | rad25p
tfiih-ssl2p_complex | composed_of | tfb2p
go:0000112 | composed_of | rad2p
go:0000112 | possesses | dna_helicase_activity
tfiih-ssl2p_complex | composed_of | tfb5p
go:0000112 | involved_in | nucleotide-excision_repair
tfiih-ssl2p_complex | composed_of | tfb1p
go:0000112 | composed_of | tfiih-ssl2p_complex
go:0000112 | possesses | endodeoxynuclease_activity
tfiih-ssl2p_complex | composed_of | rad3p
tfiih-ssl2p_complex | composed_of | tfb4p
rad7p | part_of | go:0000113
rad16p | part_of | go:0000113
go:0000113 | possesses | dna_damage_recognition
go:0000113 | involved_in | nucleotide-excision_repair
go:0000113 | composed_of | rad7p
go:0000113 | possesses | dna-dependent_atpase_activities
go:0000113 | composed_of | rad16p
go:0000118 | is_a | protein_complex
histone_deacetylase_activity | is_a | activity
protein_complex | possesses_activity | histone_deacetylase_activity
transcription_factor_complex | acts_at | regulatory_region
go:0000120 | acts_at | regulatory_region
go:0000121 | has_reactant | h2o
go:0000121 | has_product | phosphate
go:0000121 | has_product | glycerol
go:0000121 | has_reactant | sn-glycerol_1-phosphate
go:0000122 | reduces_rate | transcription_mediated_by_rna_polymerase_ii
go:0000122 | stops | transcription_mediated_by_rna_polymerase_ii
go:0000122 | prevents | transcription_mediated_by_rna_polymerase_ii
go:0000122 | reduces_frequency | transcription_mediated_by_rna_polymerase_ii
go:0000122 | reduces_extent | transcription_mediated_by_rna_polymerase_ii
go:0000123 | is_a | protein_complex
protein_complex | has_activity | histone_acetyltransferase_activity
structural_core | includes | activator_binding_module
structural_core | consists_of | taf_protein_families
saga-like_slik_complex | is_a | go:0046695
go:0000124 | is_a | saga-type_histone_acetyltransferase_complex
saga-type_histone_acetyltransferase_complex | deubiquitinates | h2a
saga-type_histone_acetyltransferase_complex | organized_into | splicing_module
spt8 | distinguishes | saga-like_slik_complex
saga-type_histone_acetyltransferase_complex | organized_into | histone_acetyltransferase_hat_module
structural_core | consists_of | spt_protein_families
histone_deubiquitinase_dub_module | consists_of | atxn7l3/sgf11
splicing_module | consists_of | sf3b3
histone_acetyltransferase_hat_module | consists_of | ada3/ngg1
splicing_module | consists_of | sf3b5
structural_core | consists_of | trtrap/tra1
structural_core | consists_of | ada1
saga-type_histone_acetyltransferase_complex | deubiquitinates | h2b
saga-type_histone_acetyltransferase_complex | organized_into | histone_deubiquitinase_dub_module
histone_acetyltransferase_hat_module | consists_of | pcaf/kat2b
histone_deubiquitinase_dub_module | consists_of | atxn7/sgf73
histone_acetyltransferase_hat_module | consists_of | gcn5/kat2a
histone_acetyltransferase_hat_module | consists_of | ada2
saga-type_histone_acetyltransferase_complex | organized_into | structural_core
tfiiib | contains | tata-binding_protein
b'' | part_of | tfiiib
tata-binding_protein | part_of | tfiiib
go:0000126 | involved_in | regulating_transcription_from_rna_polymerase_iii_promoters
brf | part_of | tfiiib
tfiiib | contains | b''
tfiiib | complex_of | transcription_factor_complex
tfiiib | contains | brf
tfiiic | associates_with | sequence_elements_downstream_of_the_promoter
tfiiic | functions_outside_of | pol_iii_promoter_regions
tfiiic | partitions | genome_content
go:0000127 | involved_in | regulating_transcription_from_rna_polymerase_iii_promoters
tfiiic | partitions | distinct_domains
tfiiic | contains | three_conserved_subunits
tfiiic | associates_with | proximal_pol_iii_promoter_element
tfiiic | functions_as | boundary_element
aggregation of single-celled organisms | results_in | flocs
go:0000128 | part_of | aggregation of single-celled organisms
single-celled organisms | aggregate | flocs
flocs | are_a | aggregates of many cells
go:0000128 | definition | reversible, non-sexual aggregation of single-celled organisms in suspension to form aggregates of many cells known as flocs
go:0000131 | is_a_portion_of | budding_yeast_plasma_membrane
budding_yeast_plasma_membrane | marks_spot_with | bud-site_selection_proteins
actin | involved_in | bud_emergence
budding_yeast_plasma_membrane | is_location_of | bud_emergence
actin | localized_to | budding_yeast_plasma_membrane
bud-site_selection_proteins | localized_to | budding_yeast_plasma_membrane
bud-site_selection_proteins | involved_in | bud_emergence
go:0000132 | sets_alignment_of | mitotic_spindle
go:0000132 | is_a | cell_cycle_process
mitotic_spindle | relative_to | cellular_structures
go:0000133 | part_of | protein_complex
bud6p | member_of | polarisome
protein_complex | plays_a_role_in | determining_cell_polarity
localized_assembly_of_actin_filaments | at | polarization_sites
spa2p | member_of | polarisome
polarisome | includes | bud6p
bni1p | member_of | polarisome
protein_complex | directs | localized_assembly_of_actin_filaments
polarisome | includes | spa2p
saccharomyces | has_polarisome | polarisome
polarisome | includes | pea2p
polarisome | includes | bni1p
pea2p | member_of | polarisome
protein_complex | adds | mannan
go:0000136 | is_a | protein_complex
n-linked_glycans | on | proteins
protein_complex | located_in | cis_golgi_membrane
mannan | to | n-linked_glycans
protein_complex | has_activity | alpha-(1->6)-mannosyltransferase_activity
go:0000137 | processes | proteins
go:0000137 | after_export_from | endoplasmic_reticulum
go:0000137 | first_processing_compartment | proteins
go:0000137 | is_a | golgi_cisterna
go:0000138 | part_of | golgi_apparatus
go:0000138 | final_processing_compartment | proteins
go:0000138 | processes | proteins
n-linked_protein_glycosylation | occurs_in | go:0000138
go:0000138 | farthest_from | endoplasmic_reticulum
proteins | pass_through | go:0000138
go:0000138 | location_of | n-linked_protein_glycosylation
go:0000139 | part_of | golgi_apparatus_compartment
lipid_bilayer | surrounds | golgi_apparatus_compartment
go:0000140 | has_product | h+
go:0000140 | has_product | nadph
go:0000140 | has_reactant | nadp+
go:0000140 | has_reactant | 1-hexadecanoyl-sn-glycero-3-phosphate
go:0000140 | has_product | 1-hexadecanoylglycerone_3-phosphate
contractile_ring | composed_of | actin_filaments
saccharomyces_cerevisiae | example_of | contractile_ring
contractile_ring | found_in | saccharomyces_cerevisiae
mother-bud_neck | found_in | mitotic_cells
contractile_ring | forms_beneath | plasma_membrane
contractile_ring | composed_of | myosin
mitotic_cells | divide_by | budding
plasma_membrane | located_at | mother-bud_neck
go:0000142 | part_of | contractile_ring
septins | part_of | go:0000144
go:0000144 | forms_at | time_of_bud_emergence
s._cerevisiae | has_structure | go:0000144
go:0000144 | composed_of | septins
go:0000144 | forms_at | bud_neck
go:0000144 | forms_at | site_of_cytokinesis
go:0000144 | composed_of | septin-associated_proteins
septins | show | high_rate_of_exchange
septin-associated_proteins | part_of | go:0000144
complex_component | conserved_between | yeast_and_mammals
protein_complex | determines | vesicle_docking_and_fusion
protein_complex | associated_with | plasma_membrane
protein_complex | has_component | complex_component
go:0000145 | is_a | protein_complex
movement_along_a_microfilament | driven_by | atp_hydrolysis
motor_activity | generates | movement_along_a_microfilament
go:0000146 | is_a | motor_activity
actin_cortical_patch | contains | actin
plasma_membrane | part_of | fungal_cells
actin_cortical_patch | located_at | plasma_membrane
go:0000147 | part_of | actin_cortical_patch
actin_cortical_patch | is_a | discrete_structure
go:0000148 | catalyzes_transfer_of | glucose_group
udp-glucose | source_of | glucose_group
3)-beta-d-glucan_chain | target_of | glucose_group
protein_complex | catalyzes_transfer_of | glucose_group
snare_protein | is_a | soluble_n-ethylmaleimide-sensitive_factor_attached_protein_receptor
go:0000149 | binding_to | snare_protein
identification_and_base-pairing_of_homologous_sequences | occurs_between | double-stranded_dna
identification_and_base-pairing_of_homologous_sequences | occurs_between | single-stranded_dna
go:0000150 | catalysis_of | identification_and_base-pairing_of_homologous_sequences
go:0000151 | includes | ubiquitin-protein_ligase
go:0000151 | enables | ubiquitin_protein_ligase_activity
go:0000152 | found_in | nucleus
go:0000152 | is_a | ubiquitin_ligase_complex
go:0000153 | is_a | ubiquitin_ligase_complex
ubiquitin_ligase_complex | found_in | cytoplasm
rRNA_molecule | differs_from | genetically_coded_sequence
covalent_alteration | affects | rRNA_molecule
go:0000154 | is_a | covalent_alteration
rRNA_molecule | is_modified_to_produce | rRNA_molecule
extracellular_signal | includes | chemical_ligand
aspartate_residue | triggers | response
phosphorylation | occurs_in | histidine_residue
extracellular_signal | includes | change_in_environment
histidine_residue | response_to | extracellular_signal
histidine_kinase | autophosphorylates | histidine_residue
aspartate_residue | in | downstream_response_regulator
two-component_sensor | is_a | histidine_kinase
phosphate | transferred_to | aspartate_residue
go:0000155 | catalysis_of | phosphorylation
response_regulator | acts_as | transcriptional_regulator
response_regulator | regulated_by | phosphate_transfer
go:0000156 | responds_to | phosphorelay_sensor
phosphate_transfer | involves | aspartate_residue
phosphate_transfer | involves | histidine_residue
go:0000159 | is_a | protein_complex
protein_serine/threonine_phosphatase_activity | is_stimulated_by | polycation
polycation | includes | histone_h1
protein_complex | has_activity | protein_serine/threonine_phosphatase_activity
protein_complex | consists_of | scaffolding_subunit
protein_complex | consists_of | catalytic_subunit
scaffolding_subunit | forms_part_of | core_enzyme
catalytic_subunit | forms_part_of | core_enzyme
holoenzyme | includes | regulatory_subunit
protein_complex | consists_of | regulatory_subunit
core_enzyme | is_part_of | holoenzyme
polycation | includes | polylysine
polycation | includes | protamine
go:0000160 | found_in | prokaryotes
go:0000160 | involves | autophosphorylation_of_histidine_kinase
autophosphorylation_of_histidine_kinase | transfer_of_phosphate_group_to | aspartate
go:0000160 | found_in | eukaryotes
aspartate | acts_as | phospho-donor_to_response_regulator_proteins
go:0000162 | involves_formation_of | l-tryptophan
l-tryptophan | is_synthesized_from | chorismate
l-tryptophan | synthesized_via | anthranilate
go:0000164 | consists_of | catalytic_subunit
protein_complex | possesses_activity | magnesium-dependent_protein_serine/threonine_phosphatase
magnesium-dependent_protein_serine/threonine_phosphatase | dictates | activity
go:0000164 | consists_of | regulatory_subunit
magnesium-dependent_protein_serine/threonine_phosphatase | dictates | substrate_specificity
map3k | activates | mpk2k
mapk | part_of | intracellular_protein_kinase_cascade
map4k | part_of | intracellular_protein_kinase_cascade
intracellular_protein_kinase_cascade | starts_with | activation_of_map3k
map_kinase | part_of | intracellular_protein_kinase_cascade
go:0000165 | contains | map_kinase
mpk2k | activates | mapk
nucleoside | esterified_with | oligophosphate
nucleotide | consists_of | nucleoside
go:0000166 | binding_to | nucleotide
nucleoside | esterified_with | orthophosphate
catalytic_rna-mediated_mechanism | substrate_includes | a3_site_in_its1_of_pre-rrna
go:0000171 | catalysis_of | site-specific_cleavage_of_rna
site-specific_cleavage_of_rna | mediated_by | catalytic_rna-mediated_mechanism
go:0000172 | involved_in | rRNA_transcript_processing
go:0000172 | cleaves | rrna_precursor
go:0000172 | involved_in | processing_rnas_to_create_rna_primers_for_dna_replication
go:0000172 | involved_in | cell_cycle-regulated_degradation_of_daughter_cell-specific_mrnas
go:0000172 | contains | rna_molecule_of_the_snorna_family
go:0000172 | enters | mitochondria
go:0000175 | catalysis_of | sequential_cleavage_of_mononucleotides
sequential_cleavage_of_mononucleotides | from | free_3'_terminus_of_rna_molecule
go:0000176 | participates_in | cellular_rna_degradation
go:0000176 | restricted_to | circular_single-stranded_rnas
go:0000176 | requires_cofactors_for | rna_with_complex_secondary_structures
go:0000176 | produces | 5-prime-phosphomonoesters
go:0000176 | restricted_to | linear_single-stranded_rnas
go:0000176 | has_activity | endoribonuclease_activity
go:0000176 | participates_in | cellular_rna_processing
go:0000176 | has_activity | 3-prime_to_5-prime_processive_and_distributive_hydrolytic_exoribonuclease_activity
go:0000177 | participates_in | cellular_rna_degradation
go:0000177 | restricts_to | circular_single-stranded_rnas
go:0000177 | produces | 5-prime-phosphomonoesters
go:0000177 | has_activity | 3-prime_to_5-prime_processive_hydrolytic_exoribonuclease_activity
go:0000177 | participates_in | cellular_rna_processing
